,name,candidate_id,state,party,incumbent_challenge_full,office_full,cycles,election_years,party,candidate_status
0,"ADAIR, STANLEY E",S0AL00248,AL,REP,Challenger,Senate,[2020],[2020],REP,C
1,"ADKINS, GARY GENE",S0VA00096,VA,REP,Challenger,Senate,[2020],[2020],REP,C
2,"ALEXANDER, LAMAR",S2TN00058,TN,REP,Incumbent,Senate,"[2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2002, 2008, 2014, 2020]",REP,C
3,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",REP,C
4,"BALDWIN, ALISSA",S0VA00070,VA,REP,Challenger,Senate,[2020],[2020],REP,C
5,"BARRETT, ROBERT PAUL MR JR.",S0MN00294,MN,REP,Challenger,Senate,[2020],[2020],REP,C
6,"BELL, JEFFREY",S8NJ00012,NJ,REP,Challenger,Senate,"[1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 2014, 2016, 2018, 2020]","[1978, 1982, 2014, 2018, 2020]",REP,N
7,"BIERSCHWALE, VIRGIL",S0TX00365,TX,REP,Challenger,Senate,[2020],[2020],REP,N
8,"BOLDUC, DONALD C.",S0NH00326,NH,REP,Challenger,Senate,[2020],[2020],REP,C
9,"BORGLUM, SCYLLER",S0SD00088,SD,REP,Challenger,Senate,[2020],[2020],REP,C
10,"BRITTAIN, CRAIG R",S8AZ00189,AZ,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",REP,N
11,"BROOKS, NATISHA",S0TN00235,TN,REP,Open seat,Senate,[2020],[2020],REP,N
12,"BUCKNER, DWAYNE DUKE",S0SC00321,SC,REP,Challenger,Senate,[2020],[2020],REP,C
13,"BUSH, BYRON",S0TN00201,TN,REP,Open seat,Senate,[2020],[2020],REP,C
14,"BYRNE, BRADLEY ROBERTS",S0AL00206,AL,REP,Challenger,Senate,[2020],[2020],REP,C
15,"CAPITO, SHELLEY MOORE",S4WV00159,WV,REP,Incumbent,Senate,"[2012, 2014, 2016, 2018, 2020]","[2014, 2020]",REP,C
16,"CARR, BOB",S4MI00298,MI,REP,Challenger,Senate,"[1994, 1996, 1998, 2000, 2018, 2020]","[1994, 2018, 2020]",REP,N
17,"CASSIDY, WILLIAM M.",S4LA00107,LA,REP,Incumbent,Senate,"[2014, 2016, 2018, 2020]","[2014, 2020]",REP,C
18,"CHLEBEK, CASEY",S0IL00550,IL,REP,Challenger,Senate,[2020],[2020],REP,C
19,"CLARKSON, GAVIN",S0NM00066,NM,REP,Open seat,Senate,[2020],[2020],REP,C
0,"COCHRAN, THAD",S8MS00055,MS,REP,Incumbent,Senate,"[1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[1978, 1984, 1990, 1996, 2002, 2008, 2014, 2020]",REP,C
1,"COLLINS, DOUGLAS ALLEN",S0GA00567,GA,REP,Challenger,Senate,[2020],[2020],REP,C
2,"COLLINS, SUSAN M.",S6ME00159,ME,REP,Incumbent,Senate,"[1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[1996, 2002, 2008, 2014, 2020]",REP,C
3,"COPE, ROY DALE",S0TN00243,TN,REP,Open seat,Senate,[2020],[2020],REP,C
4,"CORNYN, JOHN SEN",S2TX00106,TX,REP,Incumbent,Senate,"[2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2002, 2008, 2014, 2020]",REP,C
5,"COTTON, THOMAS",S4AR00103,AR,REP,Incumbent,Senate,"[2014, 2016, 2018, 2020]","[2014, 2020]",REP,C
6,"CRIM, LARRY R",S2TN00223,TN,REP,Open seat,Senate,"[2012, 2014, 2016, 2018, 2020]","[2012, 2014, 2018, 2020]",REP,N
7,"CURRAN, MARK",S0IL00543,IL,REP,Challenger,Senate,[2020],[2020],REP,C
8,"DAINES, STEVE",S2MT00096,MT,REP,Incumbent,Senate,"[2010, 2012, 2014, 2016, 2018, 2020]","[2012, 2014, 2020]",REP,C
9,"DEMARTINO, JAMES",S0DE00191,DE,REP,Challenger,Senate,[2020],[2020],REP,C
10,"DRISCOLL, JOHN B",S8MT00028,MT,REP,Challenger,Senate,"[1978, 1990, 2000, 2020]","[1978, 1990, 2000, 2020]",REP,N
11,"DUNN, BLAINE P HON.",S0VA00187,VA,REP,Challenger,Senate,[2020],[2020],REP,C
12,"ENZI, MICHAEL B",S6WY00126,WY,REP,Incumbent,Senate,"[1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[1996, 2002, 2008, 2014, 2020]",REP,C
13,"ERNST, JONI K",S4IA00129,IA,REP,Incumbent,Senate,"[2014, 2016, 2018, 2020]","[2014, 2020]",REP,C
14,"FAULKNER, OMARI",S0VA00179,VA,REP,Challenger,Senate,[2020],[2020],REP,C
15,"FLANAGAN, PATRICIA",S8NJ00541,NJ,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",REP,C
16,"FLINN, GEORGE S DR JR",S0TN00185,TN,REP,Open seat,Senate,[2020],[2020],REP,C
17,"GADE, DANIEL MACARTHUR MR.",S0VA00146,VA,REP,Challenger,Senate,[2020],[2020],REP,C
18,"GAPP, JOSHUA DOMINIQUE GREGORY",S0TN00151,TN,REP,Open seat,Senate,[2020],[2020],REP,C
19,"GARDNER, CORY",S4CO00395,CO,REP,Incumbent,Senate,"[2014, 2016, 2018, 2020]","[2014, 2020]",REP,C
